epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53473,1.28,2.57411,1.48809,0.40524,0.528,0.45663,0.24052,1.28957,2.42641,1.43347,0.0001666,0.0001666,0.0001666
2,6.86051,1.15181,1.70376,1.41016,0.3289,0.553,0.41062,0.22995,1.49688,3.07411,1.60516,0.000338149,0.000338149,0.000338149
3,10.048,1.13765,1.51554,1.39647,0.44744,0.29189,0.32748,0.14824,1.7496,4.41491,2.03512,0.000506234,0.000506234,0.000506234
4,13.1983,1.05396,1.34403,1.31551,0.39319,0.59149,0.6005,0.25555,1.52371,3.93569,1.7495,0.000670856,0.000670856,0.000670856
5,16.4358,1.09179,1.26262,1.34045,0.4202,0.497,0.49425,0.19044,1.52361,2.75223,1.77435,0.000800013,0.000800013,0.000800013
6,19.6242,1.04849,1.14866,1.33056,0.4275,0.483,0.4711,0.19026,1.70627,2.36719,1.75159,0.000791767,0.000791767,0.000791767
7,22.8052,1.05458,1.05149,1.31243,0.38038,0.54526,0.42547,0.19637,1.56263,2.17843,1.83594,0.00078352,0.00078352,0.00078352
8,25.8597,0.9756,1.03196,1.27053,0.4395,0.45,0.47619,0.22646,1.70819,2.21135,2.00706,0.000775273,0.000775273,0.000775273
9,28.919,1.00537,0.96938,1.27865,0.695,0.62518,0.63704,0.26602,1.87447,1.84424,2.07911,0.000767026,0.000767026,0.000767026
10,32.0544,0.9596,0.90288,1.2307,0.57636,0.73321,0.74649,0.31573,1.77621,1.57149,2.0787,0.00075878,0.00075878,0.00075878
11,35.246,0.93924,0.86016,1.21789,0.66586,0.64,0.61565,0.25973,1.86825,1.71407,2.21062,0.000750533,0.000750533,0.000750533
12,38.3157,0.91876,0.87622,1.22592,0.53769,0.49694,0.48925,0.21909,1.79737,1.91545,1.96737,0.000742286,0.000742286,0.000742286
13,41.3565,0.89013,0.82413,1.19551,0.50611,0.58425,0.58778,0.24705,1.59928,1.89332,1.88865,0.00073404,0.00073404,0.00073404
14,44.4121,0.90477,0.80913,1.21725,0.58963,0.62506,0.65317,0.31783,1.62423,1.66052,1.89549,0.000725793,0.000725793,0.000725793
15,47.5467,0.90161,0.76677,1.22249,0.8832,0.3978,0.58763,0.28629,1.75406,1.66702,1.96236,0.000717546,0.000717546,0.000717546
16,50.6134,0.828,0.70903,1.15133,0.52108,0.503,0.48324,0.25008,1.69712,1.60888,1.97153,0.000709299,0.000709299,0.000709299
17,53.6786,0.83478,0.73204,1.17928,0.61507,0.59419,0.69868,0.31433,1.68299,1.57765,1.94141,0.000701053,0.000701053,0.000701053
18,56.7412,0.84966,0.73386,1.17287,0.74341,0.81304,0.75485,0.33419,1.64999,1.46299,1.88959,0.000692806,0.000692806,0.000692806
19,60.0003,0.79098,0.68973,1.14867,0.60405,0.8203,0.63577,0.31341,1.70353,1.46692,1.92265,0.000684559,0.000684559,0.000684559
20,63.1068,0.8121,0.65726,1.12929,0.59078,0.67995,0.62161,0.30705,1.77865,1.45175,2.02009,0.000676313,0.000676313,0.000676313
21,66.2062,0.77899,0.65016,1.13113,0.53577,0.64916,0.61192,0.29989,1.70081,1.52109,2.00019,0.000668066,0.000668066,0.000668066
22,69.3265,0.75107,0.63015,1.09082,0.65727,0.76646,0.69741,0.3231,1.72922,1.62389,1.98302,0.000659819,0.000659819,0.000659819
23,72.4319,0.73426,0.60594,1.11286,0.76994,0.66226,0.68467,0.31772,1.72566,1.66293,1.99636,0.000651573,0.000651573,0.000651573
24,75.5185,0.7531,0.62909,1.13611,0.5415,0.65128,0.53304,0.27924,1.65512,1.52233,1.96688,0.000643326,0.000643326,0.000643326
25,78.7162,0.71867,0.60602,1.11114,0.51824,0.4991,0.54875,0.30375,1.7564,1.76145,2.09692,0.000635079,0.000635079,0.000635079
26,81.8008,0.72696,0.6253,1.09011,0.46868,0.68299,0.59516,0.31705,1.74659,1.56839,2.14442,0.000626832,0.000626832,0.000626832
27,84.9351,0.69355,0.58195,1.10402,0.92301,0.46816,0.63526,0.31804,1.8438,1.72566,2.18661,0.000618586,0.000618586,0.000618586
28,88.0938,0.74098,0.62187,1.10465,0.82677,0.52947,0.5752,0.29627,1.76003,1.85711,2.11246,0.000610339,0.000610339,0.000610339
29,91.2106,0.6555,0.58946,1.06482,0.66506,0.499,0.4923,0.28621,1.6585,1.64257,2.00936,0.000602092,0.000602092,0.000602092
30,94.3496,0.6608,0.58241,1.05538,0.51752,0.50585,0.53324,0.27274,1.86562,1.69445,2.18714,0.000593846,0.000593846,0.000593846
31,97.5307,0.63418,0.57706,1.06708,0.79078,0.51639,0.55535,0.29624,1.7853,1.63725,2.08375,0.000585599,0.000585599,0.000585599
32,100.626,0.65431,0.547,1.04868,0.71357,0.53967,0.5436,0.24556,1.88929,1.78305,2.18484,0.000577352,0.000577352,0.000577352
33,103.766,0.6724,0.5758,1.07653,0.41174,0.755,0.68871,0.25273,1.94333,1.95323,2.15003,0.000569106,0.000569106,0.000569106
34,106.877,0.63887,0.53827,1.04867,0.42044,0.772,0.56314,0.23157,1.85297,1.98097,2.02051,0.000560859,0.000560859,0.000560859
35,110.023,0.59726,0.51996,1.02627,0.91178,0.5053,0.62812,0.2527,1.7886,1.88884,1.99252,0.000552612,0.000552612,0.000552612
36,113.158,0.63921,0.5456,1.07029,0.58684,0.57385,0.61845,0.27408,1.81537,2.02756,2.02717,0.000544365,0.000544365,0.000544365
37,116.239,0.63101,0.51567,1.03106,0.56318,0.55046,0.59783,0.29312,1.86094,2.034,2.00865,0.000536119,0.000536119,0.000536119
38,119.357,0.67805,0.50891,1.05696,0.47385,0.55877,0.55804,0.27083,1.83372,1.89236,2.06132,0.000527872,0.000527872,0.000527872
